Ticker,Position,Strategy
ARKF, cash, long
ARKG, cash, long
ARKK, cash, long
ARKQ, cash, long
ARKW, cash, long
SIKA.SW, cash, long
MC.PA, cash, long
RMS.PA, cash, long
MC.PA, cash, long
OR.PA, cash, long
SU.PA, cash, long
GOOGL, cash, long
AAPL, cash, long
FB, cash, long
AMZN, cash, long
MSFT, cash, long
BABA, cash, long

