Ticker,Position,Strategy
BIG.PA, long, long
ALERS.PA, long, long
BOI.PA, long, long
EHO.PA, long, long
FP.PA, long, long
NK.PA, long, long
ORA.PA, long, long
SMCP.PA, long, long
