Ticker,Position,Strategy
ALATF.PA, long, long
ALERS.PA, long, long
ALINV.PA, long, long
ALLEC.PA, long, long
ALMDT.PA, long, long
ALMLB.PA, long, long
EKI.PA, long, long
HIPAY.PA, long, long
SFPI.PA, long, long
XIL.PA, long, long
