Ticker,Position,Strategy
AI.PA, long, long
ABI.BR, long, long
AMUN.PA, long, long
BLC.PA, long, long
BNP.PA, long, long
EDPR.LS, long, long
EO.PA, long, long
KORI.PA, long, long
NEOEN.PA, long, long
PHA.PA, long, long
SMCP.PA, long, long
SOP.PA, long, long
STLA.PA, long, long
TE.PA, long, long
ETH-USD, long, long
WLN.PA, long, long
