Ticker,Position,Strategy
BIG.PA, long, long
ALERS.PA, long, long
ALHRG.PA, long, long
BNP.PA, long, long
CA.PA, long, long
FP.PA, long, long
KORI.PA, long, long
ORA.PA, long, long
SMCP.PA, long, long
XIL.PA, long, long
